Segment Id	Segment Name	Last Updated On
4715	zeotap > Spain > Interest > Families	2018-02-27 14:35:43
4875	zeotap > Spain > Interest > Nightlife & Clubs	2018-02-27 03:26:47
4363	zeotap > USA > Interest > Personalization (App Usage)	2018-03-05 00:16:45
4343	zeotap > USA > Interest > Music & Audio (App Usage)	2018-03-05 00:17:45
4289	zeotap > USA > Interest > Productivity (App Usage)	2018-03-04 23:10:20
4716	zeotap > Spain > Interest > Families	2018-02-27 14:35:43
4299	zeotap > USA > Interest > Beauty (App Usage)	2018-03-04 19:23:39
3552	zeotap > Italy > Demographics > Language: Spanish	2018-02-23 04:17:16
3187	zeotap > Spain > Demographics > Income: High	2018-02-23 03:54:42
4264	zeotap > USA > Interest > Books & Reference (App Usage)	2018-03-04 23:26:17
5274	zeotap > Spain > Interest > Nightlife & Clubs	2018-02-27 03:26:47
4717	zeotap > Spain > Interest > Families	2018-02-27 14:35:43
4407	zeotap > Italy > Demographics > Home decision makers	2018-02-23 03:52:31
5302	zeotap > France > Custom Audience > P&G > M18-34	2018-03-04 04:29:14
5305	zeotap > France > Custom Audience > P&G > M18+	2018-03-04 04:29:14
3981	zeotap > Spain > Demographic > Province: Granada	2018-02-23 03:33:30
3986	zeotap > Spain > Demographic > Province: La Coruña	2018-02-23 03:33:30
4979	zeotap > Italy > Device > Samsung	2018-02-23 04:17:16
3558	zeotap > Italy > Demographics > Language: German	2018-02-23 04:17:16
3563	zeotap > Italy > Demographics > Nationality: Non Italians	2018-02-23 05:22:39
3531	zeotap > Italy > Demographics > Province: Genova	2018-02-23 04:55:39
5257	zeotap > Spain > Interest > Auto & Vehicles	2018-03-05 08:10:04
3992	zeotap > Spain > Demographic > Province: Madrid	2018-02-23 03:33:30
4357	zeotap > USA > Interest > Medical (App Usage)	2018-03-04 21:48:27
5567	zeotap > India > Interest > Sports Enthusiasts	
4697	zeotap > India > M/F > 18-34 > Data Usage (Redbull)	
4130	zeotap > DE > Demographics: Women, Age: 18-49	2018-03-04 04:00:47
